book,chapter,scene,title,virtue,has_html,has_image,has_audio,claude_thought_bubble,narrator,sir_james,claude,gramps,sparky
book002,1,1,The Quest Begins,Courage,yes,yes,yes,no,,,,,
book002,1,2,The Quest Begins,Courage,yes,yes,yes,no,,,,,
book002,1,3,The Quest Begins,Courage,yes,yes,yes,no,,,,,
book002,1,4,The Quest Begins,Courage,yes,yes,yes,no,,,,,
book002,1,5,The Quest Begins,Courage,yes,yes,yes,no,,,,,
book002,1,6,The Quest Begins,Courage,yes,yes,yes,no,,,,,
book002,1,7,The Quest Begins,Courage,yes,yes,yes,no,,,,,
book002,1,8,The Quest Begins,Courage,yes,yes,yes,no,,,,,
book002,2,1,The Butterfly Garden,Patience,yes,yes,yes,no,,,,,
book002,2,2,The Butterfly Garden,Patience,yes,yes,yes,no,,,,,
book002,2,3,The Butterfly Garden,Patience,yes,yes,yes,no,,,,,
book002,2,4,The Butterfly Garden,Patience,yes,yes,yes,no,,,,,
book002,2,5,The Butterfly Garden,Patience,yes,yes,yes,no,,,,,
book002,2,6,The Butterfly Garden,Patience,yes,yes,yes,no,,,,,
book002,2,7,The Butterfly Garden,Patience,yes,yes,yes,no,,,,,
book002,2,8,The Butterfly Garden,Patience,yes,yes,yes,no,,,,,
book002,3,1,The Dragon's Riddle,Wisdom,yes,yes,yes,no,,,,,
book002,3,2,The Dragon's Riddle,Wisdom,yes,yes,yes,no,,,,,
book002,3,3,The Dragon's Riddle,Wisdom,yes,yes,yes,no,,,,,
book002,3,4,The Dragon's Riddle,Wisdom,yes,yes,yes,no,,,,,
book002,3,5,The Dragon's Riddle,Wisdom,yes,yes,yes,no,,,,,
book002,3,6,The Dragon's Riddle,Wisdom,yes,yes,yes,no,,,,,
book002,3,7,The Dragon's Riddle,Wisdom,yes,yes,yes,no,,,,,
book002,3,8,The Dragon's Riddle,Wisdom,yes,yes,yes,no,,,,,
book002,4,1,The Enchanted Garden,Stewardship,yes,yes,yes,no,,,,,
